No;Code;Jenis ken;NoPolisi;Thn Kendaraan;Warna;NoMesin;NoRangka;KD
1;MF;TOYOTA ALPHARD 2.5 G A/T;B2023SSK;2022;Hitam Metalik;2AR2769624;JTNGF3DH5N8034440;K
2;MF;TOYOTA-ALPHARD-2.5 G A/T;N234EU;2021;Putih Metalik;2AR2711244;JTNGF3DH4M8032273;H
3;MF;TOYOTA-ALPHARD-2.5 G A/T;L1699HL;2020;Hitam;2AR2426380;JTNGF3DH8L8028497;H
4;MF;TOYOTA-ALPHARD-2.5 G A/T;BE1170NG;2018;Putih Metalik;2ARJ198646;JTNGF3DHXJ8019880;H
5;MF;BMW-330I-CI COUPE A/T;D11TNY;2018;Hitam Metalik;F2943063;MHH8A9609JK957014;H
6;MF;HINO-FM-FM 260 JD DUMP TRUCK;DA8780KG;2012;Hijau;J08EUFJ42115;MJEFM8JNKCJM33001;B
7;MF;MITSUBISHI-PAJERO-PAJERO SPORT 2.4L DAKAR-H (4X2) A/T;BE805JAT;2021;Silver Metalik;4N15UHM7613;MK2KRWPNUMJ009908;H
8;MF;MITSUBISHI-PAJERO-ALL NEW PAJERO SPORT DAKAR ULTIMATE 4X2 2.4 AT;KT500LAR;2022;Solar;4N15UJA7132;MK2KRWPNUNJ004068;H
9;MF;HINO TRUCK > 5 TON DTRFM 260 JD DUMP TRUCK;B9479PYU;2012;Hijau;J08EUFJ44851;MJEFM8JNKCJM34721;K
10;MF;TOYOTA-FORTUNER-ALL NEW FORTUNER 2.4 VRZ 4X2 A/T;BG1716NV;2021;Putih;2GDC864239;MHFAB8GS1M0484632;H
11;MF;HONDA-HR-V-NEW HRV 1.5 S A/T;AB1379NW;2022;Hitam Mutiara;L15C11003177;MHRRV3890NJ202856;H
12;MF;HONDA-CIVIC-CIVIC 1.5 TC S CVT;DA305MJU;2021;Putih Platinum Mutiara;L15B74934207;MRHFK4840MT011419;H
13;MF;TOYOTA-FORTUNER-ALL NEW FORTUNER 2.4 VRZ 4X2 A/T;KT99VN;2019;Hitam Metalik;2GDC528084;MHFGB8GS0K0893020;H
14;MF;MITSUBISHI-PAJERO-PAJERO SPORT 2.4L DAKAR-L (4X2) 8 A/T;H7414WY;2019;Putih Mutiara;4N15UDM1790;MK2KRWPNUKJ001615;H
15;MF;MITSUBISHI-COLT-FE SHD-X (4X2) M/T;DD8847YQ;2023;Kuning;4V21YY4830;MHMFE75EKPK008941;H
16;MF;HONDA-CRV-ALL NEW CR-V 1.5 L TURBO A/T PRESTIGE;D674CUN;2019;Putih Orchid Mutiara;L15BJ1104102;MHRRW1880KJ903349;H
17;MF;MITSUBISHI PAJERO PAJERO SPORT 2.4L DAKAR-H (4X2) A/T;B49HJI;2018;Hitam Mika;4N15UCJ4423;MK2KRWPNUJJ003170;K
18;MF;MITSUBISHI PAJERO NEW PAJERO SPORT DAKKAR LIMITED 4X2 A/T;BK1054LV;2016;Putih Mutiara;4N15UAL3807;MMBGUKR10GH007555;K
19;MF;ISUZU-NMR 71-NMR81U-HAY1N458 4X2 M/T;D9805VF;2022;Merah Kombinasi;G102405;MHCNMR81HNJ102405;H
20;MF;TOYOTA-FORTUNER-ALL NEW FORTUNER 2.4 VRZ 4X2 A/T;F789RF;2018;Hitam Metalik;2GDC326783;MHFGB8GS6J0868296;H
21;MF;MITSUBISHI TRUCK > 5 TON DTRFN 527 MS M/T;AA1996BE;2010;Oranye;6D16F39462;MHMFN527DAK001063;K
22;MF;TOYOTA-FORTUNER-VRZ 4X4 2.4 AT;KT1859WF;2018;Merah;2GDC361516;MHFHB3FS1J0035630;H
23;MF;MITSUBISHI-PAJERO-SPORT DAKAR 4X2 A/T;DA1748LQ;2016;Putih Mutiara;4N15UBB4469;MMBGUKR10GH036348;H
24;MF;MITSUBISHI-COLT-FE SUPER HD (4X2) M/T 136 PS;BK8374EM;2018;Kuning;4D34TS50764;MHMFE75P6JK039616;H
25;MF;TOYOTA HIACE ACE COMMUTER MANUAL;BL7405JH;2014;Putih Kombinasi;2KDA637985;JTFSS22P1E0138122;K
26;MF;TOYOTA-ALPHARD-3.5 V A/T;W1710CO;2012;Hitam;2GR0863410;JTEGS21HOC8065361;H
27;MF;TOYOTA-FORTUNER-ALL NEW FORTUNER 4X2 2.4 VRZ A/T LUXURY;D1472AEX;2016;Hitam Metalik;2GDC104403;MHFGB8GS3G0824569;B
28;MF;HINO-DUTRO-XZU349R-HKMTBD3/135 HD;BM9908BO;2022;Hijau;N04CWYJ10737;MJECCB2F7N5000626;B
29;MF;HONDA-CIVIC-ALL NEW 1.5 E HATCHBACK A/T;AB1714SM;2018;Hitam Mutiara;L15B73622489;MRHFC1640JT810252;B
30;MF;TOYOTA-KIJANG-ALL NEW GRAND INNOVA V 2.4 AT;B2696POF;2021;Hitam Metalik;2GDC888069;MHFAB8EM2M0107635;H
31;MF;HONDA-CRV-ALL NEW CR-V 1.5 L TURBO A/T PRESTIGE;L1358ACP;2017;Hitam;L15BJ1009829;MHRRW1880HJ806706;H
32;MF;MITSUBISHI COLT FE 84;BH8360WE;2017;Kuning Kombinasi;4D34TR14579;MHMFE84P8HK010248;K
33;MF;MITSUBISHI-COLT-FE 74 S (4X2) M/T;BB9288HB;2020;Kuning;4D34TU33246;MHMFE74PULK094544;B
34;MF;ISUZU-NMR 71-NMR810;BG8636JK;2022;Putih Kombinasi;G105954;MHCNMR81HNJ105954;H
35;MF;ISUZU-NMR 71-NMR810;BG8608JJ;2022;Putih Kombinasi;G100269;MHCNMR81HNJ100269;B
36;MF;MITSUBISHI COLT FE 74 HD (4X2 M/T);BE8579KQ;2019;Kuning Kombinasi;4D34TT08994;MHMFE74PPKK211490;K
37;MF;ISUZU-NMR 71-NMR 71T HD BAK 4.6 MT;DB8166LI;2019;Putih;B107384;MHCNMR71HKJ107384;B
38;MF;TOYOTA-HIACE-ACE COMMUTER MANUAL;DK7922JA;2013;Putih;2KDA155340;JTFSS22P2D0126995;B
39;MF;MITSUBISHI TRUCK > 5 TON LTRFN 527 ML (6X4) M/T;DP9067AA;2008;Orange;6D16D84246;MHMFN527H8K001405;K
40;MF;MITSUBISHI COLT FE 74 HDV (4X2 M/T);BA9867OU;2018;Kuning;4D34TS52055;MHMFE74P5JK190216;K
41;MF;HINO DUTRO 130 HD;BM9315JO;2022;Hijau;N04CWYJ18621;MJECCB2F8N5008265;K
42;MF;TOYOTA-KIJANG-INNOVA VENTURER 2.0 AT;KT45IE;2017;Putih;1TRA278440;MHFAW8EM3H0205986;B
43;MF;ISUZU ELF NMR 71T HD 6.1;DD8339YC;2018;Putih;B089125;MHCNMR71HJJ089125;K
44;MF;HONDA-HR-V-HONDA HR-VRU1 1.5 E;BK1662TB;2021;Abu Abu Baja Metalik;L15Z61311812;MHRRU1860MJ107653;H
45;MF;TOYOTA KIJANG ALL NEW KIJANG INNOVA 2.4 G A/T DIESEL;N1846ABV;2018;Silver Metalik;2GDC298903;MHFJB8EM1J1028074;K
46;MF;ISUZU TRUCK 1 - 5 TON DTRNMR 71T HD 6.1;DD8641HE;2018;Putih;B088223;MHCNMR71HJJ088223;K
47;MF;TOYOTA KIJANG ALL NEW KIJANG INNOVA 2.4 G M/T DIESEL;H8827WP;2018;Putih;2GD4454556;MHFJB8EM0J1035372;K
48;MF;ISUZU-NMR 71-NMR71T HD 5.8;DD8796RQ;2017;Putih;B080867;MHCNMR71LHJ080867;H
49;MF;MITSUBISHI-COLT-FE 74 S (4X2) M/T;BM8871TJ;2013;Kuning;4D34TJ25783;MHMFE74P4DK065533;B
50;MF;BMW-X3-XDRIVE20I BENSIN 2.0 AT;DD1207RI;2015;Hitam Metalik;A7021015;MHHWX3600FK934988;H
51;MF;MERCEDES BUSOH1521/60;W7024UT;2003;Putih;38698160552499;MHL68426230010349;K
52;MF;HINO DUTRO WU342R-HKMTJD3;BH8689ZL;2019;Hijau;W04DTRR66507;MJEC1JG43K5176801;K
53;MF;HINO TRUCK 1 - 5 TON LTRWU342R-HKMTJD3/130HD;DD8064YQ;2018;Hijau;W04DTRR59966;MJEC1JG43J5170043;K
54;MF;HONDA-HR-V-1.5 E A/T;E1425QC;2018;Putih Orchid Mutiara;L15Z61209448;MHRRU1860JJ803684;H
55;MF;HONDA-HR-V-HRV 1.8 RS CVT CKD;B2133JUS;2018;Putih Orchid Mutiara;R18ZE1200307;MHRRU5870JJ800404;B
56;MF;MITSUBISHI COLT FE 74 HDV (4X2 M/T);BA8143QO;2018;Kuning;4D34TSX5478;MHMFE74P5JK199399;K
57;MF;MITSUBISHI-TRITON-TRITON HDX DOUBLE CABIN M/T;DA8494CQ;2018;Putih Solid;4D56UAU3356;MMBJNKL30JH053908;H
58;MF;TOYOTA-KIJANG-ALL NEW KIJANG INNOVA 2.4 G M/T DIESEL;N1812TQ;2016;Putih;2GD4191880;MHFJB8EM0G1009718;H
59;MF;ISUZU MICROBUSNHR 55/77 PS MICROBUS;DK9212JE;2009;Abu Abu Metalik;M028544;MHCNH55EY9J028544;K
60;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DC8491CU;2018;Hijau;W04DTRR60659;MJEC1JG43J5170783;K
61;MF;HINO DUTRO WU342R-HKMTJD3/130HD;BH8447MV;2017;Hijau;W04DTRR51292;MJEC1JG43H5160801;K
62;MF;TOYOTA-KIJANG-INNOVA G 2.0 A/T;B1424NRH;2017;Silver Metalik;1TRA357463;MHFJW8EM0H2338595;H
63;MF;MITSUBISHI-XPANDER-ULTIMATE Limited A/T;D1678YCO;2023;Putih Mutiara;4A91KBL8729;MK2NCLTATPJ002772;B
64;MF;MITSUBISHI-COLT-DIESEL FE 74 HDV 3.9 MT;BM9634PU;2015;Kuning;4D34TL46043;MHMFE74P5FK146487;B
65;MF;TOYOTA-FORTUNER-2.5 G 4X2 A/T DIESEL;T1260ZY;2013;Putih;2KDU416156;MHFZR69G8D3078969;H
66;MF;HONDA-HR-V-NEW HRV 1.5 E A/T;DD1760QF;2018;Putih Orchid Mutiara;L15Z61163012;MHRRU1850JJ701153;H
67;MF;MITSUBISHI-PAJERO-SPORT 2.5 E EXCEED A/T;A1875RO;2014;Hitam Mika;4D56UCFJ2425;MMBGYKG40ED025821;H
68;MF;HONDA BR-V BR-V 1.5 E;E1768LX;2021;Abu Baja Metalik;L15Z16431280;MHRDG1870MJ150537;K
69;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);P8943UX;2012;Kuning;4D34TH24626;MHMFE74P5CK067824;K
70;MF;MITSUBISHI COLT FE 74 HDV (4X2 M/T);BH8572EJ;2017;Kuning Kombinasi;4D34TRX5196;MHMFE74P5HK178055;K
